,views
2018-08-10,269.554027
2018-08-11,262.64931
2018-08-12,281.554094
2018-08-13,286.06993
2018-08-14,283.344778
2018-08-15,282.825544
2018-08-16,279.270864
2018-08-17,274.477509
2018-08-18,267.209646
2018-08-19,284.047472
2018-08-20,291.827118
2018-08-21,281.167698
2018-08-22,286.064599
2018-08-23,274.162518
2018-08-24,270.253617
2018-08-25,270.633073
2018-08-26,285.865947
2018-08-27,295.877748
2018-08-28,285.819305
2018-08-29,290.69066
2018-08-30,287.291261
2018-08-31,278.926573
2018-09-01,272.06547
2018-09-02,282.660914
2018-09-03,304.277941
2018-09-04,304.94169
2018-09-05,290.44073
2018-09-06,291.801845
2018-09-07,282.974226
